,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
45,Stencil2D_DR,Stencil2D,MHP_SYCL_GPU,1,strong,0.6310519209104262,631.0519209104261,MHP,SYCL,GPU,2000000000,1,56,1.0,507.0898121002978
118,Stencil2D_DR,Stencil2D,MHP_SYCL_GPU,1,weak,0.6312547194714194,631.2547194714194,MHP,SYCL,GPU,2000000000,1,56,1.0,506.9269030858917
40,Stencil2D_DR,Stencil2D,MHP_SYCL_GPU,2,weak,1.2458396210001859,1245.8396210001858,MHP,SYCL,GPU,4000000000,2,112,2.0,513.7097819109291
103,Stencil2D_DR,Stencil2D,MHP_SYCL_GPU,2,strong,1.2312135761101592,1231.2135761101592,MHP,SYCL,GPU,2000000000,2,112,2.0,259.90616592370077
27,Stencil2D_DR,Stencil2D,MHP_SYCL_GPU,3,weak,1.8682491693881131,1868.249169388113,MHP,SYCL,GPU,6000000000,3,168,3.0,513.8500879486103
127,Stencil2D_DR,Stencil2D,MHP_SYCL_GPU,3,strong,1.8119244307998705,1811.9244307998706,MHP,SYCL,GPU,2000000000,3,168,3.0,176.60868994339677
108,Stencil2D_DR,Stencil2D,MHP_SYCL_GPU,4,strong,2.3650104146296576,2365.0104146296576,MHP,SYCL,GPU,2000000000,4,224,4.0,135.30595807127114
138,Stencil2D_DR,Stencil2D,MHP_SYCL_GPU,4,weak,2.4896375986245305,2489.6375986245303,MHP,SYCL,GPU,8000000000,4,224,4.0,514.1310529320299
128,Stencil2D_Reference,Stencil2D,Reference_GPU,1,strong,0.6259902726287199,625.9902726287198,MHP,SYCL,GPU,2000000000,1,56,1.0,511.19005197353073
